author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
180050251,2022-02-21 23:59:59+00:00, ,1495911209547321346,es,0,0,0,0,Twitter for Android,"🤣 la hora sad 😢
***Luego recuerdas que tú te haces los stickers https://t.co/EObDYNEr19"
1143521421156634625,2022-02-21 23:59:59+00:00, ,1495911207139786757,es,65,0,11,2,Twitter for iPhone,Me trajo un bobo porq le pasó quitando el bobo a la 👧🏻 😂 https://t.co/1ej77wUrz0
1183892181955891201,2022-02-21 23:59:58+00:00, ,1495911205826969600,es,0,0,0,0,Twitter for Android,bueno ahora sí a terminar la s1 de gilmore girls 😁
488663913,2022-02-21 23:59:58+00:00, ,1495911205810184194,es,1,0,1,0,Twitter for Android,@cocovalero57111 Jajaja 😂
144606136,2022-02-21 23:59:58+00:00, ,1495911205478744071,es,0,0,0,0,Twitter for Android,@Mery20083825 @jesusverdeL @exitosape 🤣🤣🤣🤣🤣🤣🤣 busca un psiquiatra reconchadetumadre
220345519,2022-02-21 23:59:58+00:00, ,1495911204992294918,es,2,0,0,0,Twitter for Android,@ShkarXurxes Podemos llamar a estas predicciones el nostrarolus? Plis. O el roladamus. No sé cuál es mejor.🤣🤣🤣
1026867752173223936,2022-02-21 23:59:58+00:00, ,1495911204866478080,es,0,0,0,0,Twitter for Android,"@UcBabilonia @ElDeportivoLT Jaajjaajjaa jaajjaajjaajja
El Rey del Subcampeonato dice segundón??🤣🤣🤣🤣🤣🤣🤣🤣"
391041588,2022-02-21 23:59:58+00:00, ,1495911204535128064,es,2,0,0,0,Twitter for Android,@AshenHunter4 Tres juegazos!!!Hay que estar de enhorabuena por los juegazos que tenemos y vienen!!! Un gran año para los jugadores!! Estoy disfrutando mucho con Horizon y deseando empezar Elden😁😁
1141454588102316038,2022-02-21 23:59:58+00:00, ,1495911202739953671,es,0,0,1,0,Twitter for Android,"@UnaSinTetas Agárralo de bloc de notas en lo que te desbloquea.
😅"
1410030190571438081,2022-02-21 23:59:57+00:00, ,1495911199967485952,es,0,0,0,0,Twitter for Android,@AnayansiRCamejo @BrunoRguezP Citando la frase de un cantante que no quiere ver el comunismo ni de lejos 😂😂 Dura Magali
1341423143953584131,2022-02-21 23:59:57+00:00, ,1495911198788829190,es,5,0,0,1,Twitter for Android,"Te amo, Julio Peña Fernández 😂😍 https://t.co/pb0fDXcGHY"
1404934746770227201,2022-02-21 23:59:56+00:00, ,1495911198008750085,es,10,0,2,1,Twitter for iPhone,un montón de jevas en caracas son cassie lol 😅😅😅
1464174616491229186,2022-02-21 23:59:56+00:00, ,1495911197555798023,es,1,1,0,0,Twitter for iPhone,El autor se desmayo🤣🤣🤣🤣 https://t.co/aZSGzpFU0l
1455286459221614594,2022-02-21 23:59:56+00:00, ,1495911197446746113,es,1,0,0,0,Twitter for iPhone,@domtransfemme Absolutamente! Ahora a denunciar su cuenta 😅
550181803,2022-02-21 23:59:56+00:00, ,1495911196519768065,es,0,0,0,0,Twitter for Android,"Hoy me siento bastante orgulloso de haber tenido el mejor rendimiento del día en mi peña de AoE II.

Como siga así, de aquí a dos años me hago pro gamer de un juego que tiene mi edad 😂😂😂😂"
2341274851,2022-02-21 23:59:56+00:00, ,1495911195315945474,es,2,0,0,0,Twitter for Android,@MarianaLestelle 🤣🤣La estupidez humana es infinita.
1363847852011716609,2022-02-21 23:59:56+00:00, ,1495911194057752582,es,5,0,0,0,Twitter for Android,"@Rossy57177815 @lizigranados Ahora son los más decente para lo q atención médica se refiere 🤔❓🤣🤣🤣🤣. Desde q inicio la pandemia en Panamá la @CSSPanama y @MINSAPma dejaron de atender ,ya q había q ir a las clínicas y hospitales privados papá waoooo como si el pueblo le llueve plata del cielo jajaj"
121896759,2022-02-21 23:59:55+00:00, ,1495911193663488001,es,0,0,0,0,Twitter for Android,Blanca eres tu 🤣🤣🙊🙄 https://t.co/Xc8fY3XQa9
1010171798514798592,2022-02-21 23:59:55+00:00, ,1495911193537560578,es,4,0,1,0,Twitter Web App,@reii_art1 Es increíble el peinado que casi le hace 😅😂
66868014,2022-02-21 23:59:55+00:00,00c4b64e7affea25,1495911193298546689,es,2,0,1,0,Twitter for Android,"@KattaManterola @Marcela17_21 🤣🤣🤣🤣 Bueno, esa sería la solución ideal, 🤣🤣🤣"
1138507184,2022-02-21 23:59:55+00:00, ,1495911192841408520,es,0,0,0,0,Twitter for Android,"@axelgonzalez @Jaime_Bassa Te pueden expropiar la estatua,o robar el bronce,para hacer unas moneas😂"
47475592,2022-02-21 23:59:55+00:00, ,1495911192669347845,es,0,0,1,0,Twitter for iPhone,@lightbourne 🤣🤣🤣que e lo que tú dices del aeropuerto de Bávaro?
1400598350760644613,2022-02-21 23:59:55+00:00, ,1495911191780237314,es,0,0,0,0,Twitter for iPhone,No me pidan q me calme😆😁😁😁😁 https://t.co/1sixPeRSTq
